population,status,days,group
GRZ-AD,1,21,na
GRZ-AD,1,156,f
GRZ-AD,1,159,m
GRZ-AD,1,33,m
GRZ-AD,1,182,f
GRZ-AD,1,103,m
GRZ-AD,1,111,m
GRZ-AD,1,56,f
GRZ-AD,1,97,f
GRZ-AD,1,95,m
GRZ-AD,1,69,f
GRZ-AD,1,134,m
GRZ-AD,1,78,m
GRZ-AD,1,84,m
GRZ-AD,1,85,m
GRZ-AD,1,86,m
GRZ-AD,1,97,m
GRZ-AD,1,153,f
GRZ-AD,1,111,f
GRZ-AD,1,111,f
GRZ-AD,1,112,m
GRZ-AD,1,113,m
GRZ-AD,1,115,m
GRZ-AD,1,115,f
GRZ-AD,1,115,f
GRZ-AD,1,114,f
GRZ-AD,1,172,m
GRZ-AD,1,118,f
GRZ-AD,1,153,m
GRZ-AD,1,143,f
GRZ-AD,1,181,f
GRZ-AD,1,146,m
GRZ-AD,1,132,m
GRZ-AD,1,154,m
GRZ-AD,1,51,f
GRZ-AD,1,53,f
GRZ-AD,1,30,na
GRZ-AD,1,148,f
GRZ-AD,1,128,f
GRZ-AD,1,122,f
GRZ-AD,1,121,f
GRZ-AD,1,173,m
GRZ-AD,1,60,m
GRZ-AD,1,108,f
GRZ-AD,1,120,f
GRZ-AD,1,43,na
GRZ-AD,1,182,m
GRZ-AD,1,178,m
GRZ-AD,1,122,na
GRZ-AD,1,222,f
GRZ-AD,1,43,f
GRZ-AD,1,221,m
GRZ-AD,1,135,m
GRZ-AD,1,26,na
GRZ-AD,1,237,na
GRZ-AD,1,152,f
GRZ-AD,1,54,m
GRZ-AD,1,39,na
GRZ-AD,1,135,f
GRZ-AD,1,85,m
GRZ-AD,1,220,f
GRZ-AD,1,140,m
GRZ-AD,1,214,m
GRZ-AD,1,235,m
GRZ-AD,1,149,m
GRZ-AD,1,129,f
GRZ-AD,1,32,na
GRZ-AD,1,32,na
GRZ-AD,1,32,na
GRZ-AD,1,171,m
GRZ-AD,1,66,na
GRZ-AD,1,66,na
GRZ-AD,1,66,na
GRZ-AD,1,66,na
GRZ-AD,1,63,na
GRZ-AD,1,208,m
GRZ-AD,1,222,f
GRZ-AD,1,222,f
GRZ-AD,1,38,na
GRZ-AD,1,37,na
GRZ-AD,1,44,na
GRZ-AD,1,283,f
GRZ-AD,1,20,na
GRZ-AD,1,25,na
GRZ-AD,1,25,na
GRZ-AD,1,38,na
GRZ-AD,1,38,na
GRZ-AD,1,53,f
GRZ-AD,1,53,m
GRZ-AD,1,74,m
GRZ-AD,1,74,f
GRZ-AD,1,47,na
GRZ-AD,1,51,f
GRZ-AD,1,197,f
GRZ-AD,1,95,m
GRZ-AD,1,286,f
GRZ-AD,1,207,m
GRZ-AD,1,27,f
GRZ-AD,1,254,f
GRZ-AD,1,255,m
GRZ-AD,1,268,m
GRZ-AD,1,275,f
GRZ-AD,1,284,f
GRZ-AD,1,273,f
GRZ-AD,1,273,f
GRZ-AD,1,294,m
GRZ-AD,1,31,f
GRZ-AD,1,80,m
GRZ-AD,1,221,m
GRZ-AD,1,31,f
GRZ-AD,1,29,f
GRZ-AD,1,32,f
GRZ-AD,1,50,f
