"","pop2","status2","days2","group2"
"1","GRZ-AD",1,21,3
"2","GRZ-AD",1,156,1
"3","GRZ-AD",1,159,2
"4","GRZ-AD",1,33,2
"5","GRZ-AD",1,182,1
"6","GRZ-AD",1,103,2
"7","GRZ-AD",1,111,2
"8","GRZ-AD",1,56,1
"9","GRZ-AD",1,97,1
"10","GRZ-AD",1,95,2
"11","GRZ-AD",1,69,1
"12","GRZ-AD",1,134,2
"13","GRZ-AD",1,78,2
"14","GRZ-AD",1,84,2
"15","GRZ-AD",1,85,2
"16","GRZ-AD",1,86,2
"17","GRZ-AD",1,97,2
"18","GRZ-AD",1,153,1
"19","GRZ-AD",1,111,1
"20","GRZ-AD",1,111,1
"21","GRZ-AD",1,112,2
"22","GRZ-AD",1,113,2
"23","GRZ-AD",1,115,2
"24","GRZ-AD",1,115,1
"25","GRZ-AD",1,115,1
"26","GRZ-AD",1,114,1
"27","GRZ-AD",1,172,2
"28","GRZ-AD",1,118,1
"29","GRZ-AD",1,153,2
"30","GRZ-AD",1,143,1
"31","GRZ-AD",1,181,1
"32","GRZ-AD",1,146,2
"33","GRZ-AD",1,132,2
"34","GRZ-AD",1,154,2
"35","GRZ-AD",1,51,1
"36","GRZ-AD",1,53,1
"37","GRZ-AD",1,30,3
"38","GRZ-AD",1,148,1
"39","GRZ-AD",1,128,1
"40","GRZ-AD",1,122,1
"41","GRZ-AD",1,121,1
"42","GRZ-AD",1,173,2
"43","GRZ-AD",1,60,2
"44","GRZ-AD",1,108,1
"45","GRZ-AD",1,120,1
"46","GRZ-AD",1,43,3
"47","GRZ-AD",1,182,2
"48","GRZ-AD",1,178,2
"49","GRZ-AD",1,122,3
"50","GRZ-AD",1,222,1
"51","GRZ-AD",1,43,1
"52","GRZ-AD",1,221,2
"53","GRZ-AD",1,135,2
"54","GRZ-AD",1,26,3
"55","GRZ-AD",1,237,3
"56","GRZ-AD",1,152,1
"57","GRZ-AD",1,54,2
"58","GRZ-AD",1,39,3
"59","GRZ-AD",1,135,1
"60","GRZ-AD",1,85,2
"61","GRZ-AD",1,220,1
"62","GRZ-AD",1,140,2
"63","GRZ-AD",1,214,2
"64","GRZ-AD",1,235,2
"65","GRZ-AD",1,149,2
"66","GRZ-AD",1,129,1
"67","GRZ-AD",1,32,3
"68","GRZ-AD",1,32,3
"69","GRZ-AD",1,32,3
"70","GRZ-AD",1,171,2
"71","GRZ-AD",1,66,3
"72","GRZ-AD",1,66,3
"73","GRZ-AD",1,66,3
"74","GRZ-AD",1,66,3
"75","GRZ-AD",1,63,3
"76","GRZ-AD",1,208,2
"77","GRZ-AD",1,222,1
"78","GRZ-AD",1,222,1
"79","GRZ-AD",1,38,3
"80","GRZ-AD",1,37,3
"81","GRZ-AD",1,44,3
"82","GRZ-AD",1,283,1
"83","GRZ-AD",1,20,3
"84","GRZ-AD",1,25,3
"85","GRZ-AD",1,25,3
"86","GRZ-AD",1,38,3
"87","GRZ-AD",1,38,3
"88","GRZ-AD",1,53,1
"89","GRZ-AD",1,53,2
"90","GRZ-AD",1,74,2
"91","GRZ-AD",1,74,1
"92","GRZ-AD",1,47,3
"93","GRZ-AD",1,51,1
"94","GRZ-AD",1,197,1
"95","GRZ-AD",1,95,2
"96","GRZ-AD",1,286,1
"97","GRZ-AD",1,207,2
"98","GRZ-AD",1,27,1
"99","GRZ-AD",1,254,1
"100","GRZ-AD",1,255,2
"101","GRZ-AD",1,268,2
"102","GRZ-AD",1,275,1
"103","GRZ-AD",1,284,1
"104","GRZ-AD",1,273,1
"105","GRZ-AD",1,273,1
"106","GRZ-AD",1,294,2
"107","GRZ-AD",1,31,1
"108","GRZ-AD",1,80,2
"109","GRZ-AD",1,221,2
"110","GRZ-AD",1,31,1
"111","GRZ-AD",1,29,1
"112","GRZ-AD",1,32,1
"113","GRZ-AD",1,50,1
"114","GRZ-AD",1,21,4
"115","GRZ-AD",1,156,4
"116","GRZ-AD",1,159,4
"117","GRZ-AD",1,33,4
"118","GRZ-AD",1,182,4
"119","GRZ-AD",1,103,4
"120","GRZ-AD",1,111,4
"121","GRZ-AD",1,56,4
"122","GRZ-AD",1,97,4
"123","GRZ-AD",1,95,4
"124","GRZ-AD",1,69,4
"125","GRZ-AD",1,134,4
"126","GRZ-AD",1,78,4
"127","GRZ-AD",1,84,4
"128","GRZ-AD",1,85,4
"129","GRZ-AD",1,86,4
"130","GRZ-AD",1,97,4
"131","GRZ-AD",1,153,4
"132","GRZ-AD",1,111,4
"133","GRZ-AD",1,111,4
"134","GRZ-AD",1,112,4
"135","GRZ-AD",1,113,4
"136","GRZ-AD",1,115,4
"137","GRZ-AD",1,115,4
"138","GRZ-AD",1,115,4
"139","GRZ-AD",1,114,4
"140","GRZ-AD",1,172,4
"141","GRZ-AD",1,118,4
"142","GRZ-AD",1,153,4
"143","GRZ-AD",1,143,4
"144","GRZ-AD",1,181,4
"145","GRZ-AD",1,146,4
"146","GRZ-AD",1,132,4
"147","GRZ-AD",1,154,4
"148","GRZ-AD",1,51,4
"149","GRZ-AD",1,53,4
"150","GRZ-AD",1,30,4
"151","GRZ-AD",1,148,4
"152","GRZ-AD",1,128,4
"153","GRZ-AD",1,122,4
"154","GRZ-AD",1,121,4
"155","GRZ-AD",1,173,4
"156","GRZ-AD",1,60,4
"157","GRZ-AD",1,108,4
"158","GRZ-AD",1,120,4
"159","GRZ-AD",1,43,4
"160","GRZ-AD",1,182,4
"161","GRZ-AD",1,178,4
"162","GRZ-AD",1,122,4
"163","GRZ-AD",1,222,4
"164","GRZ-AD",1,43,4
"165","GRZ-AD",1,221,4
"166","GRZ-AD",1,135,4
"167","GRZ-AD",1,26,4
"168","GRZ-AD",1,237,4
"169","GRZ-AD",1,152,4
"170","GRZ-AD",1,54,4
"171","GRZ-AD",1,39,4
"172","GRZ-AD",1,135,4
"173","GRZ-AD",1,85,4
"174","GRZ-AD",1,220,4
"175","GRZ-AD",1,140,4
"176","GRZ-AD",1,214,4
"177","GRZ-AD",1,235,4
"178","GRZ-AD",1,149,4
"179","GRZ-AD",1,129,4
"180","GRZ-AD",1,32,4
"181","GRZ-AD",1,32,4
"182","GRZ-AD",1,32,4
"183","GRZ-AD",1,171,4
"184","GRZ-AD",1,66,4
"185","GRZ-AD",1,66,4
"186","GRZ-AD",1,66,4
"187","GRZ-AD",1,66,4
"188","GRZ-AD",1,63,4
"189","GRZ-AD",1,208,4
"190","GRZ-AD",1,222,4
"191","GRZ-AD",1,222,4
"192","GRZ-AD",1,38,4
"193","GRZ-AD",1,37,4
"194","GRZ-AD",1,44,4
"195","GRZ-AD",1,283,4
"196","GRZ-AD",1,20,4
"197","GRZ-AD",1,25,4
"198","GRZ-AD",1,25,4
"199","GRZ-AD",1,38,4
"200","GRZ-AD",1,38,4
"201","GRZ-AD",1,53,4
"202","GRZ-AD",1,53,4
"203","GRZ-AD",1,74,4
"204","GRZ-AD",1,74,4
"205","GRZ-AD",1,47,4
"206","GRZ-AD",1,51,4
"207","GRZ-AD",1,197,4
"208","GRZ-AD",1,95,4
"209","GRZ-AD",1,286,4
"210","GRZ-AD",1,207,4
"211","GRZ-AD",1,27,4
"212","GRZ-AD",1,254,4
"213","GRZ-AD",1,255,4
"214","GRZ-AD",1,268,4
"215","GRZ-AD",1,275,4
"216","GRZ-AD",1,284,4
"217","GRZ-AD",1,273,4
"218","GRZ-AD",1,273,4
"219","GRZ-AD",1,294,4
"220","GRZ-AD",1,31,4
"221","GRZ-AD",1,80,4
"222","GRZ-AD",1,221,4
"223","GRZ-AD",1,31,4
"224","GRZ-AD",1,29,4
"225","GRZ-AD",1,32,4
"226","GRZ-AD",1,50,4
